stop_ids,stop_lat,stop_lon,stop_name
"['3124', '4657']",37.783993499999994,-122.39892499999999,3rd St & Folsom St
"['6634', '6635']",37.741960500000005,-122.5003315,Taraval St & 42nd Ave
"['1015', '4903', '7154', '7155', '7164', '7165']",37.72063816666667,-122.44664916666666,SAN JOSE AVE & GENEVA AVE
"['5790', '5791']",37.722941,-122.44953699999999,Ocean Ave & Howth St
"['3298', '3299']",37.765296,-122.415738,16th St & Shotwell St
"['3462', '3463', '4326', '4327']",37.75128425,-122.43407675,24th St & Castro St
"['4118', '6645']",37.8035215,-122.41482049999999,Columbus Ave & Taylor St
"['6030', '6031']",37.761745000000005,-122.40717000000001,Potrero Ave & 18th St
"['6587', '6588']",37.7865395,-122.42973549999999,Sutter St & Buchanan St
"['6214', '6215']",37.7582465,-122.42785950000001,Right Of Way/20th St
['5727'],37.778542,-122.414813,Metro Civic Center Station/Downtn
"['3174', '6696', '6697', '7776']",37.77561825,-122.396926,5th St & Townsend St
"['6024', '6827']",37.7863425,-122.421389,Post St & Van Ness Ave
"['6172', '6173']",37.7142715,-122.4671,Randolph St & Arch St
"['4293', '4294', '4421', '4422']",37.783285250000006,-122.439469,Geary Blvd & Divisadero St
"['3500', '3501', '4269', '4270']",37.78009475,-122.48472275,25th Ave & Geary Blvd
['4725'],37.791645,-122.398151,Fremont St & Market St
"['6837', '6838', '6904', '6905']",37.73964925,-122.46683000000002,Vicente St & West Portal Ave
"['3892', '3893', '6088', '6089', '7855']",37.7872546,-122.44686220000001,California St & Presidio Ave
['6996'],37.775234,-122.41934,Van Ness Station Outbound
"['4923', '6811', '6812']",37.77824933333333,-122.41982766666666,Grove St & Van Ness Ave
"['3161', '5642', '5643', '5644']",37.78566725,-122.40573549999999,4th St & Market St
['5681'],37.770953,-122.424666,Market St & Laguna St
"['5187', '6595']",37.788666500000005,-122.413614,Jones St & Sutter St
"['5818', '6823', '6824', '7736']",37.784766,-122.42128274999999,O'Farrell St & Van Ness Ave
"['3788', '3789', '3790', '6397']",37.73305675,-122.40467149999999,Bay Shore Blvd & Silver Ave
"['6047', '6048']",37.7901495,-122.40879100000001,Powell St & Bush St
"['6073', '6074', '6312']",37.792961,-122.40927266666667,Powell St & Sacramento St
"['5850', '5851', '5994']",37.795129,-122.42142233333334,Pacific Ave & Polk St
['4438'],37.769894,-122.403301,Division St & Townsend St
"['3643', '3644', '3845', '3846']",37.7856295,-122.45916775,Arguello Blvd & California St
['4973'],37.772403,-122.410371,Harrison St & 9th St
"['4414', '4415', '4474']",37.780576,-122.438881,Divisadero St & Eddy St
['3136'],37.786373,-122.40211,3rd St & Stevenson St
"['3926', '3927', '4842', '4843', '7204']",37.77333539999999,-122.50995640000001,Cabrillo St & La Playa St
"['3869', '3870']",37.7914095,-122.4141095,California St & Jones St
"['5703', '5914', '5915']",37.719750999999995,-122.42879966666668,Moscow St & Persia Ave
"['4029', '6511']",37.793909,-122.407659,Clay St & Stockton St
"['3586', '3587', '5761', '5762']",37.752897749999995,-122.50552250000001,46th Ave & Noriega St
"['6123', '6937', '6938']",37.745573,-122.45234533333333,Portola Dr & Woodside Ave
"['7354', '7363']",37.755352,-122.3880065,Third Street & 23rd St
"['5088', '5089', '6760', '6761']",37.79920225000001,-122.41905625,Hyde St & Union St
"['6277', '6280']",37.739563000000004,-122.4242385,San Jose Ave & Randall St
"['3114', '3707']",37.779632500000005,-122.3938825,3rd St & Brannan St
"['5856', '5857']",37.79608,-122.41336749999999,Pacific Ave & Taylor St
"['3460', '3461', '3995', '3996']",37.75170325,-122.42742975,24th St & Church St
"['3356', '3358', '7064', '7065']",37.721149999999994,-122.47523325,19th Ave & Holloway Ave
"['5219', '5220']",37.7620125,-122.4704505,Judah St & Funston Ave
"['5138', '5139', '5792', '7113', '7114']",37.7312904,-122.4717486,Junipero Serra Blvd & Ocean Ave
"['5893', '5894']",37.764686499999996,-122.4512005,Parnassus Ave & Shrader St
"['4838', '4839']",37.7295345,-122.486347,Lake Merced & Middlefield Dr
"['7353', '7364']",37.749038999999996,-122.387462,Third Street & Marin St
"['5855', '6520', '6521', '7737']",37.79673875,-122.4084435,Pacific Ave & Stockton St
"['6613', '6829', '6830']",37.78761866666667,-122.42167933333333,Sutter St & Van Ness Ave
"['5845', '5846']",37.7956705,-122.4166465,Pacific Ave & Leavenworth St
"['7357', '7360']",37.7687945,-122.389291,UCSF/Mission Bay
"['4643', '6754', '6755', '7293']",37.797132500000004,-122.43551475,Fillmore St & Union St
"['6077', '6927']",37.7946335,-122.40983750000001,Powell St & Washington St
"['6364', '6365', '6421', '6422']",37.732352500000005,-122.4056095,San Bruno Ave & Silver Ave
"['3865', '3866']",37.792441499999995,-122.4059465,California St & Grant Ave
"['3450', '7221']",37.754439,-122.40256500000001,23RD ST & KANSAS ST
"['5310', '5311']",37.765356499999996,-122.4795925,Lincoln Way & 21st Ave
"['4153', '4154', '4687', '4688']",37.7389,-122.41344,Cortland Ave & Folsom St
"['3469', '3470', '4677', '4678', '7312']",37.752563800000004,-122.41410699999999,24th St & Folsom St
"['6734', '6831']",37.7820005,-122.4208185,Turk St & Van Ness Ave
['5419'],37.775127,-122.419252,Metro Van Ness Station
"['4626', '4627', '5274', '5275']",37.7997235,-122.43602275,Fillmore St & Lombard St
"['4954', '7757']",37.7731335,-122.422427,Haight St & Gough St
['6213'],37.761192,-122.428184,Right Of Way/18th St
"['3695', '3696', '4386', '4387']",37.73351025,-122.434114,Bosworth St & Diamond St
"['4553', '5506', '7077']",37.740717999999994,-122.38473366666666,Evans Ave & Mendell St
"['4008', '4009', '4010', '5660', '5661', '5662', '7073']",37.767545285714284,-122.42895114285714,Church St & Market St
['5887'],37.763308,-122.458746,500 Parnassus Ave
"['3364', '3365', '5199', '5200', '7084', '7085']",37.761628,-122.47701916666666,19th Ave & Judah St
"['6035', '6036']",37.756535,-122.406675,Potrero Ave & 22nd St
"['3383', '3384', '6140', '6141']",37.74853,-122.476025,19th Ave & Quintara St
['6373'],37.72637,-122.40301,San Bruno Ave & Wayland St
"['3089', '5579']",37.7915415,-122.3963975,Beale St & Mission St
['6218'],37.754607,-122.42775,Right Of Way/22nd St
['5668'],37.76888,-122.427103,Market St & Dolores St
"['4506', '7145', '7447']",37.78452866666667,-122.38802299999999,The Embarcadero & Brannan St
"['4428', '4429', '5389', '5390']",37.777783,-122.43836125,Divisadero St & Mcallister St
"['3602', '3603']",37.7380575,-122.504354,46th Ave & Vicente St
"['5904', '6362', '6363']",37.723902,-122.40184633333332,Paul Ave & San Bruno Ave
"['5284', '5285']",37.799417000000005,-122.4393065,Lombard St & Pierce St
"['5254', '6113', '6114']",37.743073333333335,-122.45530666666667,Laguna Honda Blvd & Portola Dr
"['7349', '7392', '7402']",37.734352666666666,-122.39084766666667,Third Street/Oakdale/Palou
"['6786', '6787', '6832', '6833']",37.798536,-122.42409224999999,Union St & Van Ness Ave
['5152'],37.795041,-122.414842,Jackson St & Jones St
"['4955', '5259', '7455']",37.77277566666667,-122.425568,Haight St & Laguna St
"['3295', '3296', '6025', '6026', '6027']",37.7659278,-122.40769499999999,16th St & Potrero Ave
['5788'],37.726008,-122.464072,Ocean Ave & Fairfield Way
['7620'],37.790545,-122.393303,Main St. & Howard St.
"['5464', '5465']",37.8055005,-122.421998,North Point St & Larkin St
"['5778', '5794', '5795']",37.723447,-122.45414266666667,Ocean Ave & Lee St
"['4618', '4620', '4952', '4953', '7636']",37.77210720000001,-122.4304928,Fillmore St & Haight St
"['3754', '3755', '4436']",37.769373333333334,-122.4107,Bryant St & Division St
"['5843', '5844']",37.795238499999996,-122.419949,Pacific Ave & Larkin St
['3783'],37.711138,-122.403783,Bay Shore Blvd & Leland Ave
"['4475', '4476', '4611', '4612']",37.781526,-122.43234924999999,Eddy St & Fillmore St
"['5547', '5548', '7657']",37.76821066666667,-122.419922,Mission St & 14th St
"['3912', '3913']",37.7649675,-122.4565365,Carl St & Hillway Ave
"['5647', '5648']",37.781696,-122.4108645,Market St & 6th St
['6359'],37.73011,-122.4047,San Bruno Ave & Felton St
"['4158', '4159']",37.739675000000005,-122.41205,Cortland Ave & Prentiss St
