stop_ids,stop_lat,stop_lon,stop_name
"['5336', '5324', '5326', '5327', '5332', '5283', '5317', '5329', '5328']",37.413631626666664,-121.8998991888889,GREAT MALL / MAIN TRANSIT CENTER
['4791'],37.410047992,-122.026891343,LOCKHEED MARTIN STATION (1)
['5239'],37.38738595,-121.86147712,BERRYESSA STATION (0)
['4804'],37.413129348,-121.917700058,I-880 STATION (1)
['4821'],37.394951503,-122.076788642,MOUNTAIN VIEW STATION (0)
['4750'],37.345556685,-121.897559175,JAPANTOWN/AYER STATION (0)
"['646', '2510', '2549', '582']",37.32315197,-121.97525438849999,STEVENS CREEK & KIELY
['5246'],37.38908538,-121.86311282,BERRYESSA STATION (1)
['5383'],37.31012168,-121.91848277,FRUITDALE STATION (1)
['4785'],37.235966297,-121.789490994,SANTA TERESA STATION (1)
['4767'],37.374609103,-121.919317361,KARINA COURT STATION (1)
['4770'],37.351380186,-121.901956508,CIVIC CENTER STATION (1)
['4810'],37.403308941,-121.979862011,OLD IRONSIDES STATION (0)
['5386'],37.28548307,-121.94339544,CAMPBELL STATION (1)
['5244'],37.37264794,-121.84547695,MCKEE STATION (1)
['4757'],37.39572991,-121.93486863,ORCHARD STATION (0)
['4812'],37.403396305,-122.000874433,VIENNA STATION (0)
['4800'],37.408898394,-121.951936347,CHAMPION STATION (1)
['634'],37.323500058,-121.931115968,SAN CARLOS & TOPEKA
['4788'],37.392204666,-122.058220334,WHISMAN STATION (1)
['5379'],37.28589993,-121.94302735,CAMPBELL STATION (0)
"['3139', '2936', '3025', '3413', '4514', '407', '3072']",37.330577975428575,-121.90235424100001,SAN JOSE CALTRAIN STATION
['612'],37.341959,-121.893892,BASSETT TERMINAL
